name,datum,globalno_sevanje[W/m2],t2m[°C]
CM00006_202206280420_36.jpg,2022-06-28 06:00:00,187.0,25.2
CM00006_202207010650_36.jpg,2022-07-01 08:30:00,618.0,28.0
CM00006_202207030710_36.jpg,2022-07-03 09:00:00,687.0,24.6
CM00006_202206200340_36.jpg,2022-06-20 05:30:00,105.0,17.1
CM00006_202207072120_36.jpg,2022-07-07 23:00:00,0.0,14.9
CM00006_202207140940_36.jpg,2022-07-14 11:30:00,555.0,29.7
CM00006_202207022330_36.jpg,2022-07-03 01:30:00,0.0,16.3
CM00006_202206270740_36.jpg,2022-06-27 09:30:00,729.0,27.1
CM00006_202207160330_36.jpg,2022-07-16 05:30:00,36.0,16.8
CM00006_202207151530_36.jpg,2022-07-15 17:30:00,110.0,21.8
CM00006_202207112350_36.jpg,2022-07-12 01:30:00,0.0,15.7
CM00006_202206290310_36.jpg,2022-06-29 05:00:00,30.0,20.6
CM00006_202207111730_36.jpg,2022-07-11 19:30:00,32.0,20.1
CM00006_202207161630_36.jpg,2022-07-16 18:30:00,193.0,27.9
CM00006_202206211040_36.jpg,2022-06-21 12:30:00,244.1,21.2
CM00006_202207081040_36.jpg,2022-07-08 12:30:00,395.0,21.9
CM00006_202207090140_36.jpg,2022-07-09 03:30:00,0.0,11.1
CM00006_202206291300_36.jpg,2022-06-29 15:00:00,771.0,33.3
CM00006_202207090040_36.jpg,2022-07-09 02:30:00,0.0,12.0
CM00006_202207011300_36.jpg,2022-07-01 15:00:00,758.0,33.4
CM00006_202207071640_36.jpg,2022-07-07 18:30:00,6.0,16.6
CM00006_202207071450_36.jpg,2022-07-07 16:30:00,17.0,16.7
CM00006_202207020200_36.jpg,2022-07-02 04:00:00,0.0,17.3
CM00006_202207161700_36.jpg,2022-07-16 19:00:00,53.0,24.8
CM00006_202207091120_36.jpg,2022-07-09 13:00:00,593.0,22.9
CM00006_202206231650_36.jpg,2022-06-23 18:30:00,94.0,23.2
CM00006_202207150600_36.jpg,2022-07-15 08:00:00,480.0,22.3
CM00006_202207060600_36.jpg,2022-07-06 08:00:00,528.0,21.2
CM00006_202207161330_36.jpg,2022-07-16 15:30:00,685.0,27.9
CM00006_202207181700_36.jpg,2022-07-18 19:00:00,108.0,26.9
CM00006_202207120710_36.jpg,2022-07-12 09:00:00,254.0,18.0
CM00006_202207161310_36.jpg,2022-07-16 15:00:00,750.0,27.4
CM00006_202207051250_36.jpg,2022-07-05 14:30:00,782.0,26.0
CM00006_202206291410_36.jpg,2022-06-29 16:00:00,620.0,33.3
CM00006_202206221020_36.jpg,2022-06-22 12:00:00,667.0,22.9
CM00006_202206300730_36.jpg,2022-06-30 09:30:00,733.0,26.9
CM00006_202206300110_36.jpg,2022-06-30 03:00:00,0.0,22.0
