index,measured,predicted,hours
4,0.0,14.70766025038279,4
5,19.0,37.682814580199285,5
6,270.0,271.80808679449245,6
7,442.0,458.5361366023419,7
8,631.0,634.4490015755,8
9,783.0,778.5661229802627,9
10,900.0,909.6467541834323,10
11,982.0,977.0402242751189,11
12,1003.0,900.1379125913043,12
13,1016.0,1025.3274539749825,13
14,881.0,875.4741735382474,14
15,745.0,746.5220230620273,15
16,584.0,588.8986892190268,16
17,252.0,259.97082549266673,17
18,72.0,59.08752067899843,18
19,14.0,16.043691793267765,19
20,0.0,11.090248901390908,20
