time,True Production,Predicted Production
00:00,0,0
00:30,0,0
01:00,0,0
01:30,0,0
02:00,0,0
02:30,0,0
03:00,0,0
03:30,0,0
04:00,0,0
04:30,1,0
05:00,28,32
05:30,99,89
06:00,177,160
06:30,261,253
07:00,342,363
07:30,427,453
08:00,514,523
08:30,599,603
09:00,636,663
09:30,674,723
10:00,702,783
10:30,744,823
11:00,781,863
11:30,799,903
12:00,814,933
12:30,809,923
13:00,501,902
13:30,405,889
14:00,336,783
14:30,249,633
15:00,196,513
15:30,113,433
16:00,111,323
16:30,108,303
17:00,52,273
17:30,21,263
18:00,4,223
18:30,0,203
19:00,0,103
19:30,0,3
20:00,0,0
20:30,0,0
21:00,0,0
21:30,0,0
22:00,0,0
22:30,0,0
23:00,0,0
23:30,0,0
